poetry,poesía,
ugly,feo,fea
Jack,Jack,
vomit,vómito,
tuba,tuba,
executive,ejecutivo,ejecutiva
laughter,risa,
Jeff,Jeff,
Darnell,Darnell,
joy,alegría,
happy,feliz,
Ann,Ann,
Betsy,Betsy,
loyal,leal,
Ellen,Ellen,
maggot,gusano,
Tanisha,Tanisha,
administrator,administrador,administradora
bartender,barman,
Kristin,Kristin,
symphony,sinfonía,
rainbow,arco iris,
Lavon,Lavon,
violin,violín,
Marcellus,Marcellus,
plumber,fontanero,fontanera
bell,campana,
dragonfly,libélula,
gun,pistola,
honest,honesto,honesta
buttercup,botón de oro,
miracle,milagro,
Steve,Steve,
technician,técnico,técnica
geometry,geometría,
Shakespeare,Shakespeare,
abuse,abuso,
knife,cuchillo,
sculpture,escultura,
Yvette,Yvette,
supervisor,supervisor,supervisora
numbers,números,
Lionel,Lionel,
locust,langosta,
fleeting,fugaz,
technology,tecnología,
spear,lanza,
hornet,avispón,
gift,regalo,
Jasmine,Jazmín,
stable,estable,
poppy,amapola,
officer,policía,policía
examiner,examinador,examinadora
friend,amigo,amiga
kill,matar,
drum,tambor,
Melanie,Melanie,
banjo,banjo,
hatchet,hacha,
Ryan,Ryan,
mosquito,mosquito,
Terrence,Terrence,
mother,madre,
short-term,término corto,
computation,cálculo,
hairdresser,peluquero,peluquera
wedding,Boda,
harp,arpa,
Bill,Cuenta,
salesperson,vendedor,vendedora
Malika,Malika,
Diana,Diana,
Brett,Brett,
club,club,
children,niños,
oboe,oboe,
him,su,
sickness,enfermedad,
gloomy,melancólico,melancólica
tank,tanque,
Lamar,Lamar,
janitor,portero,portera
Allison,Allison,
horrible,horrible,
teacher,profesor,profesora
poverty,pobreza,
equations,ecuaciones,
programmer,programador,programadora
impermanent,inconstante,
male,masculino,
Peter,Peter,
wasp,avispa,
science,ciencia,
Colleen,Colleen,
influenza,influenza,
Malik,Malik,
Lisa,Lisa,
bee,abeja,
Tamika,Tamika,
accident,accidente,
accountant,contador,contadora
pleasure,placer,
grenade,granada,
home,casa,
variable,variable,
man,hombre,
Rasheed,Rasheed,
termite,termita,
Alphonse,Alphonse,
guitar,guitarra,
blackfly,mosca negra,
Matthew,Matthew,
Katie,Katie,
heaven,cielo,
literature,literatura,
inspector,inspector,inspectora
addition,adición,
sister,hermana,
evil,mal,
persistent,persistente,
Hank,Hank,
Courtney,Courtney,
constant,constante,
Shereen,Shereen,
honor,honor,
appraiser,tasador,tasadora
love,amor,
hyacinth,jacinto,
Meredith,Meredith,
Leroy,Leroy,
horn,cuerno,
ant,hormiga,
cancer,cáncer,
tarantula,tarántula,
blade,espada,
algebra,álgebra,
viola,viola,
physician,médico,médica
Alonzo,Alonzo,
his,su,
salary,salario,
